aid,featured,first_epid,last_epid,sid,update_anchor,n_episodes,season_fraction
Aidy Bryant,FALSE,,,41,FALSE,21,1
Aidy Bryant,FALSE,,,42,FALSE,21,1
Aidy Bryant,FALSE,,,43,FALSE,2,1
A. Whitney Brown,TRUE,19860222,,11,FALSE,8,0.444444444444444
A. Whitney Brown,TRUE,,,12,FALSE,20,1
A. Whitney Brown,TRUE,,,13,FALSE,13,1
A. Whitney Brown,TRUE,,,14,FALSE,20,1
A. Whitney Brown,TRUE,,,15,FALSE,20,1
A. Whitney Brown,TRUE,,,16,FALSE,20,1
Paul Brittain,TRUE,,,36,FALSE,22,1
Paul Brittain,TRUE,,20120114,37,FALSE,12,0.545454545454545
Jim Breuer,FALSE,,,21,FALSE,20,1
Jim Breuer,FALSE,,,22,FALSE,20,1
Jim Breuer,FALSE,,,23,FALSE,20,1
Beck Bennett,TRUE,,,39,FALSE,21,1
Beck Bennett,TRUE,,,40,FALSE,21,1
Beck Bennett,FALSE,,,41,FALSE,21,1
Beck Bennett,FALSE,,,42,FALSE,21,1
Beck Bennett,FALSE,,,43,FALSE,2,1
John Belushi,FALSE,,,1,FALSE,24,1
John Belushi,FALSE,,,2,FALSE,22,1
John Belushi,FALSE,,,3,FALSE,20,1
John Belushi,FALSE,,,4,FALSE,20,1
Jim Belushi,FALSE,,,9,FALSE,19,1
Jim Belushi,FALSE,,,10,FALSE,17,1
Vanessa Bayer,TRUE,,,36,FALSE,22,1
Vanessa Bayer,TRUE,,,37,FALSE,22,1
Vanessa Bayer,FALSE,,,38,FALSE,21,1
Vanessa Bayer,FALSE,,,39,FALSE,21,1
Vanessa Bayer,FALSE,,,40,FALSE,21,1
Vanessa Bayer,FALSE,,,41,FALSE,21,1
Vanessa Bayer,FALSE,,,42,FALSE,21,1
Morwenna Banks,FALSE,19950408,,20,FALSE,4,0.2
Peter Aykroyd,TRUE,19800126,,5,FALSE,12,0.6
Dan Aykroyd,FALSE,,,1,FALSE,24,1
Dan Aykroyd,FALSE,,,2,FALSE,22,1
Dan Aykroyd,FALSE,,,3,TRUE,20,1
Dan Aykroyd,FALSE,,,4,FALSE,20,1
Fred Armisen,TRUE,,,28,FALSE,20,1
Fred Armisen,TRUE,,,29,FALSE,20,1
Fred Armisen,FALSE,,,30,FALSE,20,1
Fred Armisen,FALSE,,,31,FALSE,19,1
Fred Armisen,FALSE,,,32,FALSE,20,1
Fred Armisen,FALSE,,,33,FALSE,12,1
Fred Armisen,FALSE,,,34,FALSE,22,1
Fred Armisen,FALSE,,,35,FALSE,22,1
Fred Armisen,FALSE,,,36,FALSE,22,1
Fred Armisen,FALSE,,,37,FALSE,22,1
Fred Armisen,FALSE,,,38,FALSE,21,1
